Region,Location,Keywords
ROMG,Amravati,"['shop', 'newstock', 'great', 'service', 'collection', 'trends', 'staff', 'awesome', 'veri', 'arun', 'brand', 'nice', 'store', 'exellent', 'deals', 'good', 'experience', 'exelent', 'styles']"
ROMG,Goa,"['farzana', 'vry', 'northing', 'varieties', 'person', 'shopping', 'diff', 'add', 'amazing', 'margao2', 'excellent', 'esp', 'like', 'bit', 'panjim', 'rewards', 'floor', 'make', 'jyoti', 'ironed', 'nicely', 'customers', 'goa', 'customer', 'trained', 'nic', 'trousers', 'salim', 'attended', 'job', 'zip', 'fine', 'superb', 'need', 'options', 'guy', 'rinky', 'fade', 'increase', 'experienced', 'handling', 'western', 'outfit', 'services', 'welcoming', 'jeans', 'goood', 'availability', 'shop', 'colours', 'wonderful', 'stylist', 'gets', 'dimple', 'clothing', 'shades', 'trolley', 'sm', 'colors', 'jackets', 'friends', 'bag', 'available', 'prices', 'levi', 'size', 'office', 'visit', 'payment', 'black', 'brand', 'women', 'choices', 'eligible', 'variety', 'vouchers', 'stoke', 'extra', 'workers', 'raveena', 'experience', 'friendly', 'feedbacks', 'thank', 'brands', 'shirts', 'collect', 'janice', 'na', 'vishanka', 'kp', 'best', 'quick', 'choice', 'products', 'qassim', 'fibers', 'outfits', 'gift', 'quality', 'girls', 'sales', 'staff', 'better', 'yogesh', 'clothes', 'gud', 'perfect', 'margao', 'lycra', 'nice', 'porvorim', 'benefits', 'fit', 'helpful', 'crew', 'groomed', 'courteous', 'people', 'suhana', 'cooperative', 'altered', 'vanesh', 'cotton', 'clean', 'work', 'stuff', 'little', 'giving', 'team', 'support', 'inclusive', 'personalized', 'ok', 'denim', 'style', 'appreciate', 'section', 'levis', 'pls', 'great', 'anita', 'improve', 'service', 'manager', 'collection', 'sizes', 'happy', 'overall', 'thanks', 'attendant', 'dress', 'awesome', 'calangute', 'variation', 'store', 'shirt', 'crop', 'shoes', 'fabulous', 'tshirt', 'good', 'singh', 'rates', 'styles', 'pieces']"
Gujarat,Anand,"['okay', 'got', 'improvement', 'water', 'ok', 'amazing', 'service', 'cloth', 'collection', 'required', 'staff', 'happy', 'serve', 'perfect', 'customer', 'nice', 'supportive', 'superb', 'helpful', 'good', 'experience', 'financially']"
MPCG,Gwalior,"['team', 'denim', 'style', 'excellent', 'service', 'quality', 'collection', 'staff', 'jyoti', 'sjdhdh', 'women', 'nice', 'supportive', 'niceee', 'mark', 'good', 'experience', 'upto', 'shirts']"
Gujarat,Vapi,"['fantabulous', 'super', 'parfet', 'shopping', 'pro', 'priti', 'rs', 'including', 'excellent', 'dheraj', 'make', 'cloths', 'handled', 'nicely', 'customers', 'customer', 'job', 'supportive', 'members', 'tahnk', 'options', 'welcome', 'liked', 'chahie', 'grateful', 'services', 'jeans', 'bye', 'duds', 'colours', 'helping', 'suggestions', 'splendid', 'care', 'lekar', 'authentic', 'coustomer', 'levi', 'discounts', 'women', 'dheeraj', 'shair', 'ultimate', 'collections', 'variety', 'recomending', 'experience', 'bittu', 'friendly', 'thank', 'shirts', 'polite', 'advice', 'premium', 'sttaf', 'best', 'corporative', 'products', 'quality', 'staff', 'behaviour', 'better', 'clothes', 'gud', 'elegant', 'bhai', 'cool', 'perfect', 'nice', 'product', 'vapi', 'cooperative', 'dhiraj', 'goods', 'work', 'team', 'stalk', 'behavior', 'extend', 'effort', 'levis', 'great', 'improve', 'service', 'ambience', 'collection', 'happy', 'overall', 'happiest', 'organised', 'satisfactory', 'satisfaction', 'tem', 'new', 'store', 'pleasant', 'good', 'offers', 'fashion', 'attentive', 'preeti']"
Gujarat,Bhuj,"['reasonable', 'goodbye', 'na', 'bhuj', 'best', 'comfortable', 'presentation', 'deepak', 'shopping', 'support', 'model', 'levis', 'excellent', 'heena', 'improve', 'service', 'collection', 'staff', 'happy', 'redloop', 'clothes', 'prices', 'awesome', 'customer', 'skill', 'nic', 'nice', 'new', 'store', 'product', 'good', 'experience', 'cooperative', 'increase']"
MPCG,Indore,"['polite', 'millennial', 'best', 'wonderful', 'khushi', 'class', 'redeemed', 'just', 'excellent', 'great', 'service', 'professional', 'collection', 'sizes', 'staff', 'overall', 'panwar', 'value', 'levi', 'visit', 'shubham', 'brand', 'mr', 'perfect', 'points', 'outstanding', 'redeem', 'discount', 'job', 'nice', 'attended', 'increase', 'appropriated', 'variety', 'variations', 'store', 'maintenance', 'need', 'good', 'experience', 'structure', 'looks', 'fashion']"
MPCG,Raipur,"['printed', 'services', 'exlent', 'jeans', 'odisha', 'best', 'stop', 'shop', 'chakradhari', 'outlet', 'update', '501', 'shopping', 'exclusive', 'vairity', 'wonderful', 'guided', 'lack', 'ok', 'chhattisgarh', 'vinay', 'metro', 'just', 'excellent', 'great', 'products', 'kar', 'improve', 'service', 'quality', 'ambience', 'collection', 'diwali', 'trends', 'staff', 'satisfied', 'market', 'happy', 'stores', 'asap', 'way', 'awesome', 'sooo', 'customer', 'location', 'nice', 'jaya', 'collections', 'variety', 'members', 'supriya', 'shirt', 'helpful', 'product', 'good', 'experience', 'change', 'portfolio', 'fashion', 'cities', 'shirts']"
ROMG,Karad,"['best', 'keepers', 'stock', 'excellent', 'great', 'service', 'premises', 'staff', 'operative', 'thanks', 'verity', 'customers', 'perfect', 'rohit', 'patil', 'nice', 'store', 'good', 'experience', 'shivraj', 'showroom', 'fabric', 'karad']"
Gujarat,Junagadh,"['best', 'shopping', 'ok', 'amazing', 'place', 'service', 'quality', 'staff', 'make', 'visit', 'customers', 'awesome', 'perfect', 'discount', 'nice', 'really', 'checkout', 'good', 'experience', 'nature', 'gesture', 'regular']"
